insurance_id,patient_id,primary_insured_name,primary_insured_birthdate,primary_insured_SSN,primary_insured_relationship,member_number,group_number
0605e25f-6487-4bae-a837-f29a3a085137,f5d6f6f3-8dc9-4f68-bd7a-0055380e3012,Charles Kirby,1948-05-14,452214569,self,PUQP93053209,891479
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,af5cb1d1-58b0-4cc4-a903-5f5ce11fb473,Justin Robertson,1989-05-19,493516172,self,EDUM88483184,994501
586c81e7-58f4-4ae6-adf0-6805c9565d1f,4f6d6207-d5c8-4d3b-b218-58325c3173e6,Diana Hoffman,1957-01-03,181951586,self,GJGS92579999,825813
0605e25f-6487-4bae-a837-f29a3a085137,bc9e872b-1cc2-4256-a73e-1adb9399238c,Gordon White,2013-06-23,615359570,guardian,TJWO38320400,258972
60446808-1305-419c-a9e9-5d25d324967c,03e8a712-3beb-416b-a0d7-a881206d1eea,Morgan Mcintyre,1969-10-29,800313752,self,TBJT56340263,117397
ca982581-7bcc-4c1c-b9cd-f050d631b828,0d5459ff-76b4-4281-a50d-c269a639c0b9,Stephanie Todd,1959-09-25,190203909,parent,MKIM60996423,382586
0605e25f-6487-4bae-a837-f29a3a085137,56b7c28b-15de-42f5-976f-45b92e271a10,Amanda Hudson,1976-10-13,859852177,parent,SNKC13133423,108164
ca982581-7bcc-4c1c-b9cd-f050d631b828,13263f0a-e982-4e51-a14c-af5d32c1eb22,Kenneth Mcguire,1983-07-10,931826886,self,CHXY71999918,814503
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,82e9597e-7efa-4aac-ae03-1d11a5d90cdb,Michael Mahoney,1976-04-19,606555258,guardian,EIXO70665844,208701
0605e25f-6487-4bae-a837-f29a3a085137,c7f875bb-cde6-48e4-87c0-0420cb6a72a1,Joshua Thomas,1934-10-30,483246158,parent,LKDL59267752,87822
60446808-1305-419c-a9e9-5d25d324967c,0e102c69-3235-4779-987c-0c512b742513,Cameron Andrews,2006-02-23,569442797,self,JUWZ40530793,991210
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,b48e4760-ac10-42b3-8efe-20344538bdfc,Nancy Lewis,2006-11-14,315035760,guardian,DYLX39582531,989030
0605e25f-6487-4bae-a837-f29a3a085137,acb19e3f-9fa3-4663-9d99-fe042a4697ff,Kristen Mitchell,1960-11-28,227635773,self,ABXU87083459,759166
5cd4fa35-0187-4a5c-9b0e-dcf9cae12bce,382446c0-b93d-46f0-a454-91a090456da9,Amy Schroeder,1970-04-03,181379670,parent,XFIV96389187,855477
7628e959-fb67-4a01-bdcf-b3d5aaefe72c,098f4c88-0c1e-483f-b1e7-f41992835459,Joseph Torres,2006-04-15,263929679,self,LWFG13774081,184145
afe5d47a-ee34-47ba-bbdd-1348baf4c7fa,43735fe0-168e-4946-9292-f726a3ba0211,Cody Thompson,1944-01-04,465336187,guardian,IBNS99200355,294845
